Gene	Log_peptides
thrA	2.025305865
thrB	0
thrC	1.897627091
talB	1.792391689
dnaK	2.190331698
dnaJ	0.84509804
rpsT	1.176091259
ileS	1.041392685
slpA	0.301029996
dapB	0.602059991
carA	1.113943352
carB	1.414973348
caiB	0
pdxA	0
surA	0.602059991
hepA	0.301029996
araB	0.477121255
leuD	1.322219295
leuC	1.342422681
leuA	1.397940009
murE	0
ftsA	0
ftsZ	1.204119983
secA	1
guaC	0
aceE	1.944482672
aceF	1.755874856
lpdA	1.672097858
acnB	2.086359831
speD	0.602059991
speE	0.602059991
yadF	1.041392685
panC	0.602059991
panB	0.698970004
dksA	1
hemL	0
yadR	0.301029996
pfs	0.602059991
htrA	1
dapD	1.72427587
map	0
rpsB	1.716003344
tsf	1.875061263
pyrH	0.301029996
frr	1.176091259
hlpA	0.903089987
fabZ	0.301029996
lpxA	0
accA	1.041392685
proS	1.51851394
yaeC	0
ykfE	1.113943352
gmhA	1.079181246
pepD	0.301029996
phoE	0
proB	0.602059991
argF	0.301029996
yagL	1.041392685
yagR	0
codA	0.77815125
tauB	0
proC	0
phoR	0.301029996
tgt	0.477121255
ribH	1.041392685
yajK	0.602059991
tig	1.939519253
clpP	1.113943352
clpX	1.414973348
lon	0.84509804
hupB	1
ylaD	0
acrB	0.477121255
apt	0.954242509
htpG	1.591064607
adk	1.255272505
fsr	0
ybaK	0.301029996
ybbQ	0
purK	0.477121255
purE	0.77815125
ybbF	0
ppiB	1.041392685
cysS	0
sfmC	0.301029996
ybcQ	0
ompT	0
nfnB	0.301029996
fepA	0
ybdO	0.301029996
ahpC	1.86923172
ybdQ	0
cspE	1.322219295
ybeD	0.301029996
leuS	1.146128036
yleA	0.698970004
yleB	0
asnB	0.301029996
glnS	1.079181246
fur	0.602059991
fldA	0.602059991
seqA	0
pgm	0.84509804
rhsC	0
ybgI	0
gltA	1.643452676
sdhA	0
sucA	1.707570176
sucB	1.361727836
sucC	1.763427994
sucD	1.531478917
tolB	0.602059991
ybgF	0
aroG	1.361727836
gpmA	1.431363764
galM	0.602059991
bioB	0.602059991
bioD	0.903089987
uvrB	0.301029996
moaB	0
ybiB	0.477121255
ybiC	0.602059991
glnH	1.041392685
ybiS	0.301029996
ybiT	0.301029996
moeA	0
b0830	0.301029996
b0833	0.602059991
mdaA	0
ybjO	0
artJ	1.113943352
artI	0
clpA	0
trxB	0.954242509
lrp	0.77815125
lolA	0
serS	0.84509804
dmsB	0.301029996
pflB	1.819543936
serC	1.643452676
aroA	0.77815125
cmk	0.301029996
rpsA	2.318063335
himD	0.301029996
ycbC	0
mukE	0
mukB	0.301029996
ycbB	0.301029996
aspC	1.72427587
ompF	0
asnS	1.531478917
pncB	0.602059991
pepN	0.77815125
b0941	0.477121255
pyrD	0
ymbA	0
fabA	0.954242509
torD	0
ycdS	0
ycdY	0.84509804
mdoG	0.477121255
yceA	0
pyrC	1
yceH	0.301029996
rne	0.954242509
fabH	0.903089987
fabD	1
fabG	0.954242509
acpP	1.612783857
fabF	0.602059991
ycfW	0
cobB	0
potD	0.477121255
potA	0.301029996
purB	1.397940009
icdA	2.117271296
b1163	0.301029996
b1173	0
minE	0.77815125
minD	0.301029996
ychF	0
prsA	1.397940009
hemA	0.954242509
kdsA	0.903089987
purU	1
galU	0.602059991
hns	1.681241237
adhE	1.716003344
oppA	1.633468456
oppF	0.301029996
trpA	0.954242509
trpB	1.322219295
trpD	0.301029996
rnb	1.204119983
fabI	1.230448921
sapF	0
